iter	RMSE
0	4463.42889
1	4400.207067
2	4338.722695
3	4277.680514
4	4219.316299
5	4162.491683
6	4105.730179
7	4051.516114
8	3998.473097
9	3947.311187
10	3896.438103
11	3847.471638
12	3800.287412
13	3754.659665
14	3710.113359
15	3665.990235
16	3623.104569
17	3582.289385
18	3542.740723
19	3503.645115
20	3464.29939
21	3426.553005
22	3390.654704
23	3354.655667
24	3320.674034
25	3286.687032
26	3255.226386
27	3224.643499
28	3193.584038
29	3164.172146
30	3135.419013
31	3107.88065
32	3081.319596
33	3055.487622
34	3029.823622
35	3004.848565
36	2980.582869
37	2956.844632
38	2934.322241
39	2912.972065
40	2891.6319
41	2871.174458
42	2850.001094
43	2830.238625
44	2810.686914
45	2792.869292
46	2775.532948
47	2757.673896
48	2739.929862
49	2723.025648
50	2707.128469
51	2691.281818
52	2676.002382
53	2661.776969
54	2647.288678
55	2633.423735
56	2619.911763
57	2606.190109
58	2593.047376
59	2580.389307
60	2567.77665
61	2556.313238
62	2544.638861
63	2533.949579
64	2523.153967
65	2512.650423
66	2502.067619
67	2492.03993
68	2482.202006
69	2472.993203
70	2463.647565
71	2454.493743
72	2445.839379
73	2436.870765
74	2428.331656
75	2420.085288
76	2412.299433
77	2404.610409
78	2397.004075
79	2390.142058
80	2383.406349
81	2376.7801
82	2370.110488
83	2363.360194
84	2357.108374
85	2351.15489
86	2345.184522
87	2338.951042
88	2333.50069
89	2327.775243
90	2322.522638
91	2316.826257
92	2311.285106
93	2306.088812
94	2301.182502
95	2295.803323
96	2291.28016
97	2286.808791
98	2282.255462
99	2277.605316
100	2272.854721
101	2268.379005
102	2264.275813
103	2260.372566
104	2256.429407
105	2252.139741
106	2247.90588
107	2244.264827
108	2240.539637
109	2236.407431
110	2232.425915
111	2228.498322
112	2224.731644
113	2220.686598
114	2217.525063
115	2213.420764
116	2209.600972
117	2206.518566
118	2202.684918
119	2198.980929
120	2196.1044
121	2192.512166
122	2189.035546
123	2185.712611
124	2182.900831
125	2179.712992
126	2176.610156
127	2173.509979
128	2171.008146
129	2167.970118
130	2165.032718
131	2162.287216
132	2159.677054
133	2157.366677
134	2154.930968
135	2152.722743
136	2150.09266
137	2147.583964
138	2145.499604
139	2143.168733
140	2140.879192
141	2138.801071
142	2136.847494
143	2134.352163
144	2132.375133
145	2130.457879
146	2128.418545
147	2126.365033
148	2124.343816
149	2122.349712
150	2120.33671
151	2118.326276
152	2116.324761
153	2114.406747
154	2112.683942
155	2110.643514
156	2108.66967
157	2106.545975
158	2104.56462
159	2102.838623
160	2100.89788
161	2099.060472
162	2097.199452
163	2095.570039
164	2094.08836
165	2092.404584
166	2090.948762
167	2089.496983
168	2087.976424
169	2086.591925
170	2085.174728
171	2083.957182
172	2082.389487
173	2081.064676
174	2079.861856
175	2078.634816
176	2077.246147
177	2075.884798
178	2074.803345
179	2073.25515
180	2071.883635
181	2070.573959
182	2069.190275
183	2068.06021
184	2066.72539
185	2065.541313
186	2064.290002
187	2062.90607
188	2061.957988
189	2060.842292
190	2059.649874
191	2058.395054
192	2057.403572
193	2056.325661
194	2055.477893
195	2054.417365
196	2053.251794
197	2052.120809
198	2051.143311
199	2050.110835
200	2049.335639
201	2048.19159
202	2047.081269
203	2046.270184
204	2045.034505
205	2044.051851
206	2043.330205
207	2042.142352
208	2041.067468
209	2040.008808
210	2038.895152
211	2038.143235
212	2037.017119
213	2036.232506
214	2034.991153
215	2034.005709
216	2032.939771
217	2032.038881
218	2031.103805
219	2030.319777
220	2029.300361
221	2028.538714
222	2027.562535
223	2026.937204
224	2026.19077
225	2025.524619
226	2024.142598
227	2023.390817
228	2022.474692
229	2021.612011
230	2020.706572
231	2020.105292
232	2019.525079
233	2018.584673
234	2017.934313
235	2017.328233
236	2016.595399
237	2015.90486
238	2015.047702
239	2014.26907
240	2013.299447
241	2012.512579
242	2011.867718
243	2011.104326
244	2010.546445
245	2010.025134
246	2009.425077
247	2008.898316
248	2008.321452
249	2007.735148
250	2007.074133
251	2006.437576
252	2005.823962
253	2005.052084
254	2004.572117
255	2004.12549
256	2003.433664
257	2002.709121
258	2002.248482
259	2001.547863
260	2000.709008
261	2000.188771
262	1999.467562
263	1998.954302
264	1998.358408
265	1997.59842
266	1997.023118
267	1995.910661
268	1995.375003
269	1994.767247
270	1994.298857
271	1993.624338
272	1993.028406
273	1992.540235
274	1992.057336
275	1991.547668
276	1991.07648
277	1990.522755
278	1989.900084
279	1989.351178
280	1988.402366
281	1987.892623
282	1987.263879
283	1986.907972
284	1986.31103
285	1985.752099
286	1985.367493
287	1984.763432
288	1984.35918
289	1983.790918
290	1983.207913
291	1982.752605
292	1982.17178
293	1981.643052
294	1981.21155
295	1980.746823
296	1980.307013
297	1979.974511
298	1979.565789
299	1979.242744
300	1978.604212
301	1977.985089
302	1977.606848
303	1977.049969
304	1976.602171
305	1976.199157
306	1975.837657
307	1975.516752
308	1975.158894
309	1974.811252
310	1974.320988
311	1973.943649
312	1973.65345
313	1973.050719
314	1972.576225
315	1971.679459
316	1971.267677
317	1970.49739
318	1970.017017
319	1969.650996
320	1968.829631
321	1968.285096
322	1967.900439
323	1967.445154
324	1967.129417
325	1966.694476
326	1966.283374
327	1965.592812
328	1965.112487
329	1964.619681
330	1964.151855
331	1963.715267
332	1963.415097
333	1963.055989
334	1962.782221
335	1962.039357
336	1961.203579
337	1960.867745
338	1960.451026
339	1960.085632
340	1959.546407
341	1959.286571
342	1958.898592
343	1958.604516
344	1958.229782
345	1957.887424
346	1957.590556
347	1956.820296
348	1956.43975
349	1956.049222
350	1955.610769
351	1955.294786
352	1955.035203
353	1954.606381
354	1954.238905
355	1953.894097
356	1953.383002
357	1953.099122
358	1952.725293
359	1952.398591
360	1952.011884
361	1951.699102
362	1951.169915
363	1950.289831
364	1949.84783
365	1949.384735
366	1949.035032
367	1948.707356
368	1948.451338
369	1948.156544
370	1947.837699
371	1947.500155
372	1947.220981
373	1946.861052
374	1946.572381
375	1946.04589
376	1945.755672
377	1945.541526
378	1945.253032
379	1944.818013
380	1944.574768
381	1944.158209
382	1943.703628
383	1943.390479
384	1943.031843
385	1942.777015
386	1942.37493
387	1941.996099
388	1941.21076
389	1940.825645
390	1940.508877
391	1940.262117
392	1939.922514
393	1939.672917
394	1939.40959
395	1939.116879
396	1938.80726
397	1938.47214
398	1938.169401
399	1937.639491
