iter	Passed	Remaining
0	150	60089
1	165	32913
2	180	23856
3	197	19526
4	211	16729
5	225	14837
6	240	13505
7	254	12480
8	269	11714
9	284	11093
10	300	10615
11	315	10214
12	331	9858
13	346	9566
14	361	9273
15	376	9029
16	390	8799
17	405	8613
18	420	8433
19	434	8260
20	449	8113
21	464	7974
22	478	7841
23	493	7727
24	506	7599
25	522	7512
26	536	7409
27	550	7315
28	565	7232
29	579	7148
30	593	7068
31	608	6994
32	622	6921
33	637	6861
34	651	6796
35	665	6733
36	680	6677
37	695	6626
38	709	6570
39	723	6515
40	738	6467
41	752	6415
42	767	6374
43	782	6328
44	796	6286
45	810	6239
46	825	6201
47	840	6162
48	864	6196
49	879	6158
50	894	6120
51	908	6080
52	923	6044
53	936	6001
54	950	5965
55	966	5934
56	980	5900
57	994	5865
58	1009	5832
59	1022	5796
60	1035	5757
61	1050	5725
62	1064	5695
63	1079	5669
64	1093	5638
65	1108	5608
66	1121	5576
67	1135	5543
68	1149	5512
69	1163	5483
70	1180	5470
71	1196	5451
72	1212	5432
73	1229	5415
74	1245	5395
75	1261	5376
76	1275	5352
77	1292	5335
78	1307	5313
79	1322	5288
80	1336	5265
81	1350	5238
82	1364	5212
83	1381	5196
84	1398	5181
85	1453	5306
86	1471	5293
87	1488	5278
88	1510	5279
89	1540	5305
90	1578	5360
91	1602	5363
92	1625	5365
93	1646	5358
94	1668	5357
95	1688	5345
96	1719	5371
97	1739	5359
98	1757	5343
99	1776	5328
100	1793	5309
101	1808	5284
102	1825	5263
103	1842	5242
104	1856	5215
105	1870	5187
106	1884	5159
107	1898	5132
108	1912	5105
109	1926	5079
110	1941	5054
111	1956	5030
112	1971	5007
113	1985	4982
114	1999	4954
115	2012	4927
116	2026	4901
117	2040	4876
118	2056	4856
119	2070	4831
120	2084	4806
121	2098	4782
122	2113	4758
123	2126	4733
124	2140	4710
125	2155	4687
126	2171	4667
127	2186	4646
128	2201	4625
129	2216	4602
130	2229	4578
131	2242	4553
132	2256	4530
133	2272	4510
134	2288	4491
135	2302	4469
136	2317	4449
137	2332	4428
138	2347	4407
139	2360	4384
140	2374	4361
141	2390	4343
142	2403	4319
143	2417	4297
144	2431	4275
145	2443	4251
146	2457	4230
147	2471	4209
148	2485	4187
149	2501	4169
150	2515	4147
151	2529	4127
152	2541	4103
153	2554	4081
154	2568	4060
155	2581	4038
156	2596	4019
157	2612	4001
158	2625	3979
159	2638	3958
160	2652	3937
161	2666	3917
162	2680	3897
163	2694	3877
164	2708	3857
165	2723	3839
166	2737	3819
167	2751	3800
168	2765	3780
169	2780	3761
170	2793	3740
171	2807	3720
172	2822	3703
173	2836	3684
174	2850	3665
175	2865	3646
176	2879	3627
177	2893	3608
178	2907	3589
179	2920	3568
180	2935	3552
181	2949	3533
182	2964	3515
183	2978	3496
184	2991	3476
185	3005	3457
186	3019	3439
187	3033	3421
188	3048	3403
189	3061	3383
190	3075	3365
191	3089	3346
192	3102	3327
193	3116	3309
194	3129	3289
195	3143	3271
196	3159	3255
197	3173	3237
198	3185	3217
199	3200	3200
200	3212	3180
201	3226	3163
202	3240	3145
203	3253	3126
204	3269	3110
205	3282	3091
206	3296	3073
207	3311	3056
208	3325	3038
209	3340	3022
210	3355	3005
211	3369	2987
212	3384	2971
213	3400	2955
214	3416	2940
215	3430	2922
216	3445	2905
217	3458	2887
218	3472	2870
219	3487	2853
220	3500	2835
221	3513	2817
222	3528	2800
223	3541	2782
224	3555	2765
225	3567	2746
226	3581	2729
227	3597	2713
228	3611	2696
229	3625	2679
230	3639	2662
231	3652	2644
232	3664	2626
233	3679	2609
234	3693	2592
235	3707	2576
236	3721	2559
237	3735	2542
238	3748	2525
239	3762	2508
240	3777	2492
241	3791	2475
242	3808	2460
243	3825	2445
244	3838	2428
245	3851	2411
246	3864	2393
247	3877	2376
248	3890	2359
249	3904	2342
250	3918	2325
251	3931	2308
252	3943	2291
253	3958	2275
254	3971	2258
255	3984	2241
256	3997	2224
257	4010	2207
258	4023	2190
259	4038	2174
260	4052	2158
261	4066	2141
262	4078	2124
263	4092	2108
264	4105	2091
265	4120	2075
266	4134	2059
267	4149	2043
268	4162	2027
269	4175	2010
270	4189	1994
271	4203	1978
272	4217	1962
273	4231	1945
274	4243	1928
275	4258	1913
276	4273	1897
277	4286	1881
278	4301	1865
279	4315	1849
280	4330	1833
281	4344	1817
282	4359	1802
283	4373	1786
284	4387	1770
285	4402	1754
286	4414	1738
287	4428	1722
288	4440	1705
289	4454	1689
290	4469	1673
291	4482	1658
292	4496	1642
293	4509	1625
294	4522	1609
295	4537	1594
296	4550	1578
297	4562	1561
298	4575	1545
299	4588	1529
300	4602	1513
301	4615	1497
302	4628	1481
303	4646	1467
304	4659	1451
305	4671	1435
306	4686	1419
307	4700	1403
308	4714	1388
309	4727	1372
310	4740	1356
311	4753	1340
312	4766	1324
313	4780	1309
314	4796	1294
315	4813	1279
316	4826	1263
317	4839	1247
318	4853	1232
319	4866	1216
320	4880	1201
321	4893	1185
322	4907	1169
323	4929	1156
324	4941	1140
325	4953	1124
326	4967	1108
327	4980	1093
328	4994	1077
329	5008	1062
330	5022	1047
331	5036	1031
332	5049	1015
333	5063	1000
334	5076	984
335	5089	969
336	5102	953
337	5115	938
338	5129	923
339	5144	907
340	5158	892
341	5170	876
342	5183	861
343	5197	846
344	5210	830
345	5223	815
346	5237	800
347	5253	784
348	5267	769
349	5281	754
350	5293	739
351	5307	723
352	5321	708
353	5334	693
354	5350	678
355	5365	663
356	5379	647
357	5392	632
358	5406	617
359	5419	602
360	5433	586
361	5446	571
362	5460	556
363	5475	541
364	5489	526
365	5504	511
366	5517	496
367	5530	480
368	5544	465
369	5557	450
370	5571	435
371	5583	420
372	5597	405
373	5610	390
374	5623	374
375	5637	359
376	5649	344
377	5661	329
378	5675	314
379	5689	299
380	5703	284
381	5717	269
382	5730	254
383	5744	239
384	5758	224
385	5772	209
386	5789	194
387	5804	179
388	5818	164
389	5831	149
390	5844	134
391	5858	119
392	5872	104
393	5885	89
394	5900	74
395	5912	59
396	5926	44
397	5940	29
398	5952	14
399	5966	0
